district.x,school.x,school_id,type_special,type,e_pct_me_17,m_pct_me_17,e_pct_me_21,m_pct_me_21,reading_change,math_change,reading_percent_change_over_time,math_percent_change_over_time
"Beaufort County
School District",Riverview Charter School,0701601,charter,E,55.4,63.5,58.5,67.3,3.1000000000000014,3.799999999999997,5.595667870036103,5.984251968503933
"Beaufort County
School District",Riverview Charter School,0701601,charter,M,71.4,64.7,57.3,49.7,-14.100000000000009,-15,-19.747899159663877,-23.183925811437405
"Charleston
County School
District","Charleston Development
Academy",1001612,charter,E,41,49.1,34.9,18.6,-6.100000000000001,-30.5,-14.878048780487807,-62.11812627291242
"Charleston
County School
District","Charleston Development
Academy",1001612,charter,M,44.2,32.7,44.6,21.4,0.3999999999999986,-11.300000000000004,0.9049773755656076,-34.55657492354741
"Charleston
County School
District","East Cooper Montessori
Charter",1001614,charter,E,72,62.4,82,72,10,9.600000000000001,13.88888888888889,15.384615384615389
"Charleston
County School
District","East Cooper Montessori
Charter",1001614,charter,M,66.1,68.4,82.4,69.2,16.30000000000001,0.7999999999999972,24.659606656580955,1.1695906432748495
"Charleston
County School
District","Orange Grove Charter
School",1001618,charter,E,71.4,75.3,75.7,80.1,4.299999999999997,4.799999999999997,6.02240896358543,6.3745019920318695
"Charleston
County School
District","Orange Grove Charter
School",1001618,charter,M,63.5,54.5,72,57.1,8.5,2.6000000000000014,13.385826771653544,4.770642201834865
"Charleston
County School
District","Charleston Charter School
For Math And Science",1001620,charter,M,37.6,30.799999999999997,39.5,26.6,1.8999999999999986,-4.199999999999996,5.053191489361699,-13.636363636363624
"Charleston
County School
District","Pattison's Academy For
Comprehensive Education",1001628,charter,E,0,0,14.3,NA,14.3,NA,Inf,NA
"Charleston
County School
District","Pattison's Academy For
Comprehensive Education",1001628,charter,M,0,0,NA,NA,NA,NA,NA,NA
"Charleston
County School
District",Carolina Voyager Charter,1001629,charter,E,32.7,40,58.9,55.8,26.199999999999996,15.799999999999997,80.12232415902139,39.49999999999999
"Charleston
County School
District","Allegro Charter School Of
Music",1001630,charter,M,33,18.2,39.8,10.8,6.799999999999997,-7.399999999999999,20.6060606060606,-40.65934065934066
"Chester County
School District","The Academy For
Teaching And Learning",1201601,charter,E,27.5,35.4,29.8,32.5,2.3000000000000007,-2.8999999999999986,8.363636363636367,-8.192090395480223
"Chester County
School District","The Academy For
Teaching And Learning",1201601,charter,M,36.2,12,36.8,23.9,0.5999999999999943,11.899999999999999,1.6574585635358958,99.16666666666666
"Florence One
Schools","Palmetto Youth Academy
Charter",2101600,charter,E,22,8,18.2,6.1,-3.8000000000000007,-1.9000000000000004,-17.272727272727277,-23.750000000000004
"Georgetown
County School
District",Coastal Montessori Charter,2201601,charter,E,66.3,47.1,49.4,27.6,-16.9,-19.5,-25.49019607843137,-41.401273885350314
"Georgetown
County School
District",Coastal Montessori Charter,2201601,charter,M,69.6,47.8,62.1,24.1,-7.499999999999993,-23.699999999999996,-10.775862068965509,-49.581589958158986
"The School
District Of
Greenville
County","Langston Charter Middle
School",2301612,charter,M,81.1,75,82.1,74.2,1,-0.7999999999999972,1.2330456226880395,-1.0666666666666629
"Horry County
Schools","Bridgewater Academy
Charter",2601601,charter,E,41.7,37.5,45.2,29,3.5,-8.5,8.393285371702637,-22.666666666666664
"Horry County
Schools","Bridgewater Academy
Charter",2601601,charter,M,34.300000000000004,37.2,44.2,25.6,9.899999999999999,-11.600000000000001,28.862973760932935,-31.182795698924732
"Horry County
Schools","Palmetto Academy Of
Learning And Success
Charter",2601602,charter,E,76.9,71.1,64.9,77.3,-12,6.200000000000003,-15.604681404421324,8.720112517580876
"Horry County
Schools","Palmetto Academy Of
Learning And Success
Charter",2601602,charter,M,64.7,42.8,74.2,39.8,9.5,-3,14.683153013910355,-7.009345794392524
"Horry County
Schools",Academy Of Hope Charter,2601603,charter,E,18.8,14.6,18.8,12.5,0,-2.0999999999999996,0,-14.383561643835616
"Horry County
Schools",Academy Of Hope Charter,2601603,charter,M,21.7,47.8,30.4,47.8,8.7,0,40.09216589861751,0
Lancaster,"Discovery Charter Of
Lancaster",2901611,charter,E,44.5,51.900000000000006,46.8,40.4,2.299999999999997,-11.500000000000007,5.16853932584269,-22.157996146435462
"Richland School
District One",Carolina School For Inquiry,4001603,charter,E,32.3,24.6,42.1,11.8,9.800000000000004,-12.8,30.340557275541812,-52.032520325203244
"Rock Hill School
District (York 3)",The Palmetto School,4603602,charter,E,50,0,NA,NA,NA,NA,NA,NA
"Rock Hill School
District (York 3)",The Palmetto School,4603602,charter,M,60,0,NA,NA,NA,NA,NA,NA
"South Carolina
Public Charter
School District","Spartanburg Preparatory
School",4701006,charter,E,41.2,43.2,46.6,27.5,5.399999999999999,-15.700000000000003,13.106796116504851,-36.342592592592595
"South Carolina
Public Charter
School District","Spartanburg Preparatory
School",4701006,charter,M,54.1,61.3,39.8,31,-14.300000000000004,-30.299999999999997,-26.43253234750463,-49.42903752039152
"South Carolina
Public Charter
School District","Palmetto Scholars
Academy",4701010,charter,M,76.4,70.8,67.1,51.6,-9.300000000000011,-19.199999999999996,-12.172774869109961,-27.118644067796605
"South Carolina
Public Charter
School District",York Preparatory Academy,4701011,charter,E,50.5,52.4,50.3,52.1,-0.20000000000000284,-0.29999999999999716,-0.39603960396040166,-0.5725190839694603
"South Carolina
Public Charter
School District",York Preparatory Academy,4701011,charter,M,52.8,49.3,58.6,43.1,5.800000000000004,-6.199999999999996,10.984848484848493,-12.5760649087221
"South Carolina
Public Charter
School District",East Point Academy,4701013,charter,E,62.2,62.8,58.8,51,-3.4000000000000057,-11.799999999999997,-5.466237942122196,-18.789808917197448
"South Carolina
Public Charter
School District",East Point Academy,4701013,charter,M,55.599999999999994,43.8,51,44.9,-4.599999999999994,1.1000000000000014,-8.273381294964018,2.5114155251141588
"South Carolina
Public Charter
School District",Youth Leadership Academy,4701017,charter,M,54,57.5,67.6,59.6,13.599999999999994,2.1000000000000014,25.185185185185176,3.6521739130434807
"South Carolina
Public Charter
School District","Cape Romain
Environmental Education
Charter School",4701019,charter,E,57.099999999999994,57.2,67.4,50,10.300000000000011,-7.200000000000003,18.038528896672528,-12.587412587412592
"South Carolina
Public Charter
School District","Cape Romain
Environmental Education
Charter School",4701019,charter,M,45.599999999999994,30.4,63.3,55.7,17.700000000000003,25.300000000000004,38.81578947368422,83.22368421052634
"South Carolina
Public Charter
School District",Green Charter School,4701026,charter,E,68.4,82.30000000000001,75.1,76,6.699999999999989,-6.300000000000011,9.795321637426884,-7.654921020656149
"South Carolina
Public Charter
School District",Green Charter School,4701026,charter,M,78.69999999999999,79.3,78.9,60.2,0.20000000000001705,-19.099999999999994,0.25412960609913227,-24.085750315258505
"South Carolina
Public Charter
School District",Bridges Preparatory School,4701027,charter,E,51.1,63.8,41.8,34.4,-9.300000000000004,-29.4,-18.199608610567523,-46.08150470219436
"South Carolina
Public Charter
School District",Bridges Preparatory School,4701027,charter,M,44.099999999999994,34.4,61.4,40.8,17.300000000000004,6.399999999999999,39.22902494331067,18.604651162790695
"South Carolina
Public Charter
School District","Pee Dee Math, Science,
And Technology Academy",4701029,charter,E,27.8,22.2,24.6,10.5,-3.1999999999999993,-11.7,-11.510791366906473,-52.702702702702695
"South Carolina
Public Charter
School District","Pee Dee Math, Science,
And Technology Academy",4701029,charter,M,31.6,7.9,18.6,7,-13,-0.9000000000000004,-41.13924050632911,-11.392405063291143
"South Carolina
Public Charter
School District",Riverwalk Academy,4701033,charter,E,40.7,39,41.1,35.2,0.3999999999999986,-3.799999999999997,0.9828009828009793,-9.743589743589737
"South Carolina
Public Charter
School District",Riverwalk Academy,4701033,charter,M,39.4,25,39,9.7,-0.3999999999999986,-15.3,-1.0152284263959355,-61.199999999999996
"South Carolina
Public Charter
School District",High Point Academy,4701034,charter,E,35.1,39.900000000000006,44.3,38.7,9.199999999999996,-1.2000000000000028,26.2108262108262,-3.007518796992488
"South Carolina
Public Charter
School District",High Point Academy,4701034,charter,M,34.4,26.7,48.5,33.3,14.100000000000001,6.599999999999998,40.98837209302326,24.7191011235955
"South Carolina
Public Charter
School District","Lead Academy Public
Charter School",4701036,charter,E,43.9,58.5,26.7,22.8,-17.2,-35.7,-39.17995444191344,-61.02564102564103
"South Carolina
Public Charter
School District","Lead Academy Public
Charter School",4701036,charter,M,44.4,38.9,22.9,10.4,-21.5,-28.5,-48.42342342342342,-73.26478149100257
"South Carolina
Public Charter
School District","Lowcountry Montessori
School",4701037,charter,E,34.8,19.6,48.4,17.2,13.600000000000001,-2.400000000000002,39.08045977011495,-12.244897959183684
"South Carolina
Public Charter
School District","Lowcountry Montessori
School",4701037,charter,M,44.4,27.8,35.7,5.7,-8.699999999999996,-22.1,-19.594594594594586,-79.49640287769785
"South Carolina
Public Charter
School District",The Next School,4701039,charter,M,14.4,7.2,5,NA,-9.4,NA,-65.27777777777779,NA
"South Carolina
Public Charter
School District",Tall Pines Stem Academy,4701040,charter,E,51.6,64.2,NA,NA,NA,NA,NA,NA
"South Carolina
Public Charter
School District","Felton Laboratory Charter
School",4701042,charter,E,30.1,31.700000000000003,50,50,19.9,18.299999999999997,66.11295681063122,57.728706624605664
"South Carolina
Public Charter
School District","Felton Laboratory Charter
School",4701042,charter,M,36.7,17.5,80,40,43.3,22.5,117.98365122615802,128.57142857142858
