district.x,school.x,school_id,type,e_pct_me_21,e_pct_me_17,change_over_time,percent_change_over_time
"School District
Of Newberry
County",Reuben Elementary,3601015,E,28.3,25.9,2.400000000000002,9.266409266409276
"Anderson
School District
Five","Centerville Elementary
School",0405044,E,40.8,37.4,3.3999999999999986,9.090909090909086
"Anderson
School District
One",Spearman Elementary,0401011,E,58.8,53.900000000000006,4.8999999999999915,9.090909090909074
"Fort Mill School
District - York 4","Gold Hill Elementary
School",4604048,E,78.5,72,6.5,9.027777777777777
"Beaufort County
School District",Okatie Elementary,0701029,E,63.2,58,5.200000000000003,8.965517241379315
"Horry County
Schools","Burgess Elementary
School",2601063,E,62.2,57.1,5.100000000000001,8.931698774080562
"Union County
Schools",Buffalo Elementary School,4401007,E,28.2,25.9,2.3000000000000007,8.880308880308883
"Berkeley County
School District",St. Stephen Elementary,0801028,E,24.7,22.7,2,8.81057268722467
"Edgefield
County School
District","Johnston Elementary
School",1901005,E,27.2,25,2.1999999999999993,8.799999999999997
"Spartanburg
School District
One",Inman Intermediate School,4201088,E,40.8,37.5,3.299999999999997,8.799999999999992
"Kershaw County
School District",Lugoff Elementary School,2801018,E,50.8,46.7,4.099999999999994,8.779443254817973
"Richland School
District One","Rosewood Elementary
School",4001054,E,72.6,66.80000000000001,5.799999999999983,8.682634730538895
"Richland School
District One",Bradley Elementary School,4001024,E,35.2,32.4,2.8000000000000043,8.641975308641989
"Berkeley County
School District",J. K. Gourdin Elementary,0801020,E,35.6,32.8,2.8000000000000043,8.536585365853671
"Horry County
Schools","Bridgewater Academy
Charter",2601601,E,45.2,41.7,3.5,8.393285371702637
"Chester County
School District","The Academy For
Teaching And Learning",1201601,E,29.8,27.5,2.3000000000000007,8.363636363636367
"The School
District Of
Greenville
County","Sue Cleveland Elementary
School",2301043,E,27.9,25.8,2.099999999999998,8.139534883720922
"Dillon School
District Three",Latta Elementary School,1703024,E,48.3,44.8,3.5,7.8125
"Horry County
Schools",Kingston Elementary,2601028,E,47.1,43.7,3.3999999999999986,7.7803203661327185
"The School
District Of
Greenville
County","Slater Marietta Elementary
School",2301084,E,41.6,38.6,3,7.772020725388601
"Charleston
County School
District",Oakland Elementary,1001068,E,47.3,43.900000000000006,3.3999999999999915,7.744874715261939
"Anderson
School District
Five",Midway Elementary School,0405061,E,59.9,55.6,4.299999999999997,7.733812949640282
"Aiken County
Public School
District","North Augusta Elementary
School",0201039,E,46.8,43.5,3.299999999999997,7.586206896551717
"Spartanburg
School District 5","River Ridge Elementary
School",4205090,E,48.7,45.3,3.4000000000000057,7.505518763796923
"Spartanburg
School District 5","Beech Springs
Intermediate School",4205089,E,39.3,36.6,2.6999999999999957,7.377049180327856
"Spartanburg
School District
Two",Oakland Elementary,4202088,E,57.1,53.2,3.8999999999999986,7.33082706766917
"Richland School
District One",Hopkins Elementary School,4001040,E,23.5,21.9,1.6000000000000014,7.305936073059367
"The School
District Of
Greenville
County",Augusta Circle Elementary,2301034,E,85.8,80,5.799999999999997,7.2499999999999964
"The School
District Of
Greenville
County","Heritage Elementary
School",2301107,E,46.8,43.7,3.0999999999999943,7.093821510297469
"The School
District Of
Greenville
County","Robert E. Cashion
Elementary",2301113,E,36.8,34.4,2.3999999999999986,6.976744186046507
"School District
Of Oconee
County",Keowee Elementary School,3701012,E,58,54.3,3.700000000000003,6.813996316758754
"Rock Hill School
District (York 3)","Mount Holly Elementary
School",4603043,E,40.8,38.2,2.5999999999999943,6.806282722513074
"Anderson
School District
Three",Iva Elementary School,0403024,E,49.4,46.3,3.1000000000000014,6.695464362850975
"Fort Mill School
District - York 4","Springfield Elementary
School",4604052,E,56.3,52.8,3.5,6.628787878787879
"The School
District Of
Greenville
County",Fork Shoals School,2301057,E,53.4,50.099999999999994,3.3000000000000043,6.586826347305398
"Chester County
School District","Great Falls Elementary
School",1201011,E,31.3,29.4,1.9000000000000021,6.462585034013612
"Union County
Schools","Foster Park Elementary
School",4401012,E,23.2,21.8,1.3999999999999986,6.422018348623847
"Charleston
County School
District","Orange Grove Charter
School",1001618,E,75.7,71.4,4.299999999999997,6.02240896358543
Sumter Schools,"Pocalla Springs Elementary
School",4301040,E,17.9,16.900000000000002,0.9999999999999964,5.917159763313587
"Berkeley County
School District",H. E. Bonner Elementary,0801024,E,39.4,37.2,2.1999999999999957,5.9139784946236436
"Horry County
Schools",Waterway Elementary,2601067,E,49.1,46.4,2.700000000000003,5.818965517241385
"Fort Mill School
District - York 4",Fort Mill Elementary School,4604043,E,64.4,60.9,3.500000000000007,5.747126436781621
"Spartanburg
School District
Two","Carlisle-Foster's Grove
Elementary",4202087,E,59.9,56.7,3.1999999999999957,5.643738977072302
"Anderson
District 4","Pendleton Elementary
School",0404034,E,37.6,35.6,2,5.617977528089887
"Beaufort County
School District",Riverview Charter School,0701601,E,58.5,55.4,3.1000000000000014,5.595667870036103
"Fort Mill School
District - York 4","Pleasant Knoll Elementary
School",4604055,E,68.5,64.9,3.5999999999999943,5.546995377503843
"Clover School
District (York 2)",Bethany Elementary,4602011,E,55.9,53,2.8999999999999986,5.471698113207545
"Beaufort County
School District","Pritchardville Elementary
School",0701037,E,58.6,55.599999999999994,3.000000000000007,5.395683453237424
"School District
Of Oconee
County","Northside Elementary
School",3701013,E,49,46.5,2.5,5.376344086021505
"Richland School
District Two",North Springs Elementary,4002080,E,37.9,36,1.8999999999999986,5.277777777777773
"Horry County
Schools",Aynor Elementary School,2601014,E,46,43.7,2.299999999999997,5.263157894736835
Lancaster,"Discovery Charter Of
Lancaster",2901611,E,46.8,44.5,2.299999999999997,5.16853932584269
"Spartanburg
School District
One",O.P. Earle Elementary,4201007,E,41.1,39.1,2,5.115089514066496
"School District
Of Pickens
County",Ambler Elementary,3901033,E,47.9,45.6,2.299999999999997,5.0438596491228
"The School
District Of
Greenville
County","Brushy Creek Elementary
School",2301039,E,63.6,60.6,3,4.9504950495049505
"Beaufort County
School District","Port Royal Elementary
School",0701016,E,32.3,30.8,1.4999999999999964,4.870129870129858
"Horry County
Schools",Homewood Elementary,2601025,E,37.2,35.5,1.7000000000000028,4.788732394366205
"The School
District Of
Greenville
County",Sterling School,2301116,E,70.4,67.2,3.200000000000003,4.761904761904765
"Charleston
County School
District",Belle Hall Elementary,1001096,E,74.4,71.19999999999999,3.200000000000017,4.494382022471935
"Charleston
County School
District",Stiles Point Elementary,1001084,E,71.1,68.1,3,4.405286343612335
"Kershaw County
School District",Mt. Pisgah Elementary,2801020,E,53.1,50.900000000000006,2.1999999999999957,4.322200392927299
"Lexington
School District
Two","Herbert A. Wood
Elementary School",3202027,E,29.1,27.9,1.2000000000000028,4.301075268817215
"The School
District Of
Greenville
County",Summit Drive Elementary,2301087,E,60.7,58.2,2.5,4.29553264604811
"Aiken County
Public School
District",Millbrook Elementary,0201035,E,44.7,42.9,1.8000000000000043,4.195804195804206
"School District
Of Oconee
County",Westminster Elementary,3701023,E,34.9,33.5,1.3999999999999986,4.179104477611936
"The School
District Of
Greenville
County",Plain Elementary School,2301046,E,63.7,61.2,2.5,4.084967320261438
"The School
District Of
Greenville
County",Bryson Elementary School,2301040,E,53.3,51.3,2,3.8986354775828467
"Colleton County
School District","Forest Hills Elementary
School",1501012,E,24,23.1,0.8999999999999986,3.89610389610389
"Florence One
Schools",Royall Elementary School,2101017,E,61.7,59.4,2.3000000000000043,3.8720538720538795
"The School
District Of
Greenville
County","Simpsonville Elementary
School",2301081,E,53.7,51.7,2,3.8684719535783363
"Fort Mill School
District - York 4",Tega Cay Elementary,4604058,E,72,69.4,2.5999999999999943,3.7463976945244872
"Berkeley County
School District",Cainhoy Elementary School,0801015,E,14.1,13.6,0.5,3.6764705882352944
"Beaufort County
School District","Hilton Head Island
Elementary School",0701033,E,49.4,47.7,1.6999999999999957,3.563941299790347
"Chesterfield
County School
District",Ruby Elementary School,1301023,E,41,39.6,1.3999999999999986,3.535353535353532
Sumter Schools,"High Hills Elementary
School",4301012,E,23.5,22.7,0.8000000000000007,3.524229074889871
"Aiken County
Public School
District",Hammond Hill Elementary,0201031,E,47.6,46,1.6000000000000014,3.4782608695652204
"Charleston
County School
District",Buist Academy,1001094,E,97,93.8,3.200000000000003,3.4115138592750567
"The School
District Of
Greenville
County",East North Street Academy,2301054,E,40.2,38.9,1.3000000000000043,3.3419023136246895
"Dorchester
School District
Two",Joseph R. Pye Elementary,1802028,E,55.6,53.9,1.7000000000000028,3.1539888682745874
"Cherokee
County School
District 1","Goucher Elementary
School",1101012,E,30.7,29.8,0.8999999999999986,3.020134228187915
"Barnwell School
District 45","Barnwell Elementary
School",0645012,E,32.1,31.2,0.9000000000000021,2.8846153846153912
"Charleston
County School
District",Charleston Progressive,1001101,E,25,24.299999999999997,0.7000000000000028,2.8806584362140035
"The School
District Of
Greenville
County","Lake Forest Elementary
School",2301063,E,45.4,44.2,1.1999999999999957,2.7149321266968225
"Richland School
District One",Annie Burnside Elementary,4001027,E,21.5,21,0.5,2.380952380952381
"Aiken County
Public School
District",J.D. Lever Elementary,0201022,E,30.2,29.5,0.6999999999999993,2.372881355932201
"Dorchester
District Four",Clay Hill Elementary School,1804021,E,30.8,30.1,0.6999999999999993,2.3255813953488347
"Aiken County
Public School
District","Mossy Creek Elementary
School",0201058,E,42.6,41.7,0.8999999999999986,2.1582733812949604
"The School
District Of
Greenville
County",Skyland Elementary School,2301083,E,62.3,61,1.2999999999999972,2.131147540983602
"Anderson
School District
One",Cedar Grove Elementary,0401005,E,54.2,53.1,1.1000000000000014,2.0715630885122436
"The School
District Of
Greenville
County",Pelham Road Elementary,2301079,E,75.4,73.9,1.5,2.0297699594046006
"The School
District Of
Greenville
County",Paris Elementary School,2301076,E,61.6,60.400000000000006,1.1999999999999957,1.98675496688741
"Berkeley County
School District",Nexton Elementary,0801053,E,56.1,55.1,1,1.8148820326678767
Lancaster,North Elementary School,2901014,E,41.4,40.7,0.6999999999999957,1.719901719901709
"Spartanburg
School District 5","Berry Shoals Intermediate
School",4205091,E,47.9,47.2,0.6999999999999957,1.483050847457618
"Rock Hill School
District (York 3)","India Hook Elementary
School",4603039,E,52.6,51.900000000000006,0.6999999999999957,1.3487475915221496
"Charleston
County School
District",Mt. Pleasant Academy,1001063,E,84.3,83.3,1,1.2004801920768309
"The School
District Of
Greenville
County","Oakview Elementary
School",2301108,E,78.4,77.5,0.9000000000000057,1.1612903225806526
"Kershaw County
School District",Doby's Mill Elementary,2801024,E,44.5,44,0.5,1.1363636363636365
"Charleston
County School
District",Minnie Hughes Elementary,1001045,E,17.9,17.7,0.1999999999999993,1.1299435028248548
"Rock Hill School
District (York 3)",Lesslie Elementary School,4603027,E,46.3,45.8,0.5,1.091703056768559
"School District
Of Newberry
County","Boundary Street
Elementary",3601005,E,29.3,29,0.3000000000000007,1.0344827586206922
"South Carolina
Public Charter
School District",Riverwalk Academy,4701033,E,41.1,40.7,0.3999999999999986,0.9828009828009793
Lancaster,"Mcdonald Green
Elementary",2901024,E,32.6,32.300000000000004,0.29999999999999716,0.9287925696594338
"The School
District Of
Greenville
County",Woodland Elementary,2301099,E,61.6,61.099999999999994,0.5000000000000071,0.8183306055646598
"Richland School
District One","Satchel Ford Elementary
School",4001056,E,61.7,61.400000000000006,0.29999999999999716,0.4885993485341973
"Richland School
District One","Brennen Elementary
School",4001025,E,63.8,63.5,0.29999999999999716,0.47244094488188526
"Clover School
District (York 2)","Oakridge Elementary
School",4602052,E,65,64.7,0.29999999999999716,0.4636785162287436
"Rock Hill School
District (York 3)","Independence Elementary
School",4603036,E,45.7,45.5,0.20000000000000284,0.4395604395604458
"Horry County
Schools","Carolina Forest Elementary
School",2601049,E,55.5,55.3,0.20000000000000284,0.36166365280289847
"Kershaw County
School District","Camden Elementary
School",2801015,E,45.3,45.2,0.09999999999999432,0.22123893805308475
"Horry County
Schools",Academy Of Hope Charter,2601603,E,18.8,18.8,0,0
"Lexington
County School
District One","Deerfield Elementary
School",3201070,E,52.5,52.5,0,0
"Richland School
District One","Burton-Pack Elementary
School",4001089,E,18.1,18.1,0,0
"Clover School
District (York 2)","Crowders Creek
Elementary",4602051,E,66.7,66.7,0,0
"Anderson
School District
Five",Concord Elementary,0405045,E,65.2,65.3,-0.09999999999999432,-0.15313935681469268
"Greenwood
School District
50","Pinecrest Elementary
School",2450014,E,29.8,29.9,-0.09999999999999787,-0.33444816053510995
"Dorchester
School District
Two","Sand Hill Elementary
School",1802029,E,57.6,57.8,-0.19999999999999574,-0.3460207612456674
"South Carolina
Public Charter
School District",York Preparatory Academy,4701011,E,50.3,50.5,-0.20000000000000284,-0.39603960396040166
"School District
Five Of
Lexington &
Richland Count",Oak Pointe Elementary,3205056,E,62.6,62.9,-0.29999999999999716,-0.47694753577106064
"Horry County
Schools",Ocean Bay Elementary,2601060,E,66.9,67.30000000000001,-0.4000000000000057,-0.594353640416056
"School District
Five Of
Lexington &
Richland Count","Ballentine Elementary
School",3205055,E,64.2,64.6,-0.3999999999999915,-0.6191950464396153
"The School
District Of
Greenville
County",Buena Vista Elementary,2301093,E,76.4,77,-0.5999999999999943,-0.7792207792207718
"Laurens County
School District
56",Clinton Elementary School,3056019,E,38.1,38.400000000000006,-0.30000000000000426,-0.7812500000000109
"Florence One
Schools",Mclaurin Elementary,2101012,E,43.9,44.3,-0.3999999999999986,-0.9029345372460464
"Anderson
School District
One","Powdersville Elementary
School",0401062,E,61.9,62.5,-0.6000000000000014,-0.9600000000000023
"Berkeley County
School District",Mount Holly Elementary,0801040,E,30.3,30.6,-0.3000000000000007,-0.9803921568627474
"Berkeley County
School District",Cross Elementary,0801016,E,29.2,29.5,-0.3000000000000007,-1.0169491525423753
"Spartanburg
School District 5","Reidville Elementary
School",4205049,E,55.9,56.5,-0.6000000000000014,-1.0619469026548698
"Aiken County
Public School
District","Redcliffe Elementary
School",0201055,E,36.9,37.3,-0.3999999999999986,-1.0723860589812295
"Charleston
County School
District","Charles Pinckney
Elementary",1001102,E,72.4,73.2,-0.7999999999999972,-1.092896174863384
"Richland School
District One","Caughman Road
Elementary",4001032,E,26.9,27.2,-0.3000000000000007,-1.102941176470591
"Dorchester
School District
Two",Alston-Bailey Elementary,1802031,E,44.1,44.7,-0.6000000000000014,-1.342281879194634
"Berkeley County
School District","Howe Hall Arts Infused
Magnet School",0801036,E,75.5,76.6,-1.0999999999999943,-1.4360313315926818
"Aiken County
Public School
District","Chukker Creek Elementary
School",0201056,E,56.3,57.2,-0.9000000000000057,-1.5734265734265833
"Charleston
County School
District",Mt. Zion Elementary,1001095,E,31,31.5,-0.5,-1.5873015873015872
Saluda,Saluda Elementary School,4101006,E,24.6,25,-0.3999999999999986,-1.5999999999999945
"Union County
Schools","Jonesville Elementary
Middle School",4401014,E,23.3,23.7,-0.3999999999999986,-1.6877637130801628
"Charleston
County School
District","Ashley River Creative Arts
Elementary",1001091,E,73,74.3,-1.2999999999999972,-1.7496635262449494
"Marlboro
County School
District","Wallace Elementary Middle
School",3501025,E,22.1,22.5,-0.3999999999999986,-1.7777777777777715
"Clover School
District (York 2)",Griggs Road Elementary,4602047,E,62.1,63.400000000000006,-1.3000000000000043,-2.0504731861198806
"Chester County
School District","Chester Park Elementary
School Of The Arts",1201020,E,23,23.5,-0.5,-2.127659574468085
"Anderson
School District
Five","Varennes Elementary
School",0405055,E,18.2,18.6,-0.40000000000000213,-2.1505376344086136
"York School
District One",Cotton Belt Elementary,4601047,E,36,36.8,-0.7999999999999972,-2.173913043478253
"Clover School
District (York 2)",Larne Elementary School,4602018,E,49.5,50.6,-1.1000000000000014,-2.1739130434782634
"Dillon School
District Four","Lake View Elementary
School",1704003,E,30.2,30.9,-0.6999999999999993,-2.265372168284787
"Horry County
Schools","Waccamaw Elementary
School",2601042,E,46.6,47.7,-1.1000000000000014,-2.3060796645702335
"Fort Mill School
District - York 4","Doby's Bridge Elementary
School",4604059,E,73.4,75.30000000000001,-1.9000000000000057,-2.5232403718459566
"Aiken County
Public School
District",Greendale Elementary,0201030,E,29.4,30.200000000000003,-0.8000000000000043,-2.6490066225165703
"Richland School
District Two",Langford Elementary,4002097,E,43.7,44.9,-1.1999999999999957,-2.6726057906458704
"Dorchester
School District
Two","Beech Hill Elementary
School",1802021,E,71.7,73.69999999999999,-1.9999999999999858,-2.7137042062415007
"Aiken County
Public School
District",Aiken Elementary School,0201016,E,42.1,43.3,-1.1999999999999957,-2.771362586605071
"Berkeley County
School District",Daniel Island School,0801048,E,78.7,81,-2.299999999999997,-2.839506172839503
"Charleston
County School
District",Pepperhill Elementary,1001077,E,16.7,17.2,-0.5,-2.9069767441860463
"Charleston
County School
District",James Island Elementary,1001107,E,46.1,47.5,-1.3999999999999986,-2.9473684210526288
"Colleton County
School District","Northside Elementary
School",1501020,E,22.8,23.5,-0.6999999999999993,-2.9787234042553163
"Chester County
School District","Chester Park Elementary
School Of Inquiry",1201018,E,17.7,18.3,-0.6000000000000014,-3.2786885245901716
"Charleston
County School
District",Jennie Moore Elementary,1001061,E,70.8,73.4,-2.6000000000000085,-3.5422343324250796
"Dorchester
School District
Two",William Reeves Elementary,1802025,E,55.8,58,-2.200000000000003,-3.793103448275867
"Horry County
Schools",Socastee Elementary,2601054,E,40.2,41.8,-1.5999999999999943,-3.8277511961722355
"Richland School
District Two",E. L. Wright Middle School,4002078,E,82.1,85.4,-3.3000000000000114,-3.864168618266992
"Lexington
County School
District One","Pleasant Hill Elementary
School",3201060,E,60.4,62.900000000000006,-2.500000000000007,-3.974562798092221
"Beaufort County
School District",River Ridge Academy,0701038,E,57.5,59.9,-2.3999999999999986,-4.00667779632721
"School District
Of Pickens
County","Central Academy Of The
Arts",3901014,E,41.9,43.7,-1.8000000000000043,-4.1189931350114515
"Florence One
Schools","Lucy T. Davis Elementary
School",2101051,E,48.3,50.4,-2.1000000000000014,-4.16666666666667
"Rock Hill School
District (York 3)","Belleview Elementary
School",4603020,E,31.7,33.1,-1.4000000000000021,-4.2296072507552935
"School District
Of Pickens
County","East End Elementary
School",3901017,E,49.8,52,-2.200000000000003,-4.230769230769236
"Fort Mill School
District - York 4","Riverview Elementary
School",4604042,E,60.1,62.8,-2.6999999999999957,-4.299363057324834
"Lexington
County School
District One","New Providence
Elementary School",3201065,E,65.2,68.2,-3,-4.39882697947214
"Dorchester
School District
Two","Newington Elementary
School",1802013,E,49.7,52.1,-2.3999999999999986,-4.606525911708251
"Cherokee
County School
District 1",Grassy Pond Elementary,1101022,E,46.6,49,-2.3999999999999986,-4.897959183673466
"Richland School
District Two",Sandlapper Elementary,4002093,E,34.7,36.5,-1.7999999999999972,-4.931506849315061
"Laurens County
School District
55",Ford Elementary School,3055006,E,15.4,16.2,-0.7999999999999989,-4.938271604938265
"Florence One
Schools","Delmae Heights
Elementary School",2101010,E,48.8,51.5,-2.700000000000003,-5.242718446601947
"Spartanburg
School District
Four","Woodruff Elementary
School",4204042,E,41.1,43.4,-2.299999999999997,-5.299539170506906
"Fairfield County
School District","Mccrorey-Liston School Of
Technology",2001009,E,21.2,22.4,-1.1999999999999993,-5.357142857142854
"Laurens County
School District
55","Hickory Tavern
Elementary/Middle School",3055017,E,34.9,36.9,-2,-5.420054200542006
"Williamsburg
County School
District","Hemingway Elementary
School",4501024,E,22.6,23.9,-1.2999999999999972,-5.439330543933043
"South Carolina
Public Charter
School District",East Point Academy,4701013,E,58.8,62.2,-3.4000000000000057,-5.466237942122196
"Anderson
School District
Five","New Prospect Elementary
School",0405051,E,30.8,32.6,-1.8000000000000007,-5.521472392638039
"Marion County
School District",Marion Intermediate School,3410004,E,17.4,18.5,-1.1000000000000014,-5.945945945945954
"Dorchester
School District
Two","Summerville Elementary
School",1802009,E,50.9,54.2,-3.3000000000000043,-6.088560885608864
"Anderson
District 4","Mount Lebanon Elementary
School",0404037,E,63.2,67.3,-4.099999999999994,-6.092124814264479
"Charleston
County School
District",Lambs Elementary,1001052,E,27.4,29.200000000000003,-1.8000000000000043,-6.16438356164385
"Richland School
District One",Brockman Elementary,4001094,E,76.5,81.6,-5.099999999999994,-6.249999999999994
"Berkeley County
School District","Marrington Elementary
School",0801033,E,63.7,68,-4.299999999999997,-6.323529411764701
"The School
District Of
Greenville
County",Bell's Crossing,2301112,E,64.9,69.3,-4.3999999999999915,-6.349206349206337
Clarendon 3,"Walker Gamble Elementary
School",1403019,E,41.2,44,-2.799999999999997,-6.363636363636357
"Greenwood
School District
50","Dr. Benjamin E. Mays
Elementary School",2450028,E,35,37.4,-2.3999999999999986,-6.417112299465237
"Spartanburg
County School
District Six","West View Elementary
School",4206066,E,43.3,46.3,-3,-6.479481641468683
"Charleston
County School
District","North Charleston
Elementary",1001067,E,14.3,15.3,-1,-6.535947712418301
"Rock Hill School
District (York 3)",Mt. Gallant Elementary,4603037,E,48.6,52,-3.3999999999999986,-6.538461538461536
"The School
District Of
Greenville
County","Chandler Creek Elementary
School",2301109,E,36,38.7,-2.700000000000003,-6.976744186046519
"School District
Of Oconee
County","Blue Ridge Elementary
School",3701031,E,25.2,27.1,-1.9000000000000021,-7.011070110701115
"Charleston
County School
District","Edith L. Frierson
Elementary",1001075,E,15.9,17.1,-1.200000000000001,-7.017543859649128
"Horry County
Schools",Midland Elementary School,2601033,E,51.1,55,-3.8999999999999986,-7.090909090909088
"Berkeley County
School District","Whitesville Elementary
School",0801030,E,40.4,43.599999999999994,-3.1999999999999957,-7.339449541284394
"Georgetown
County School
District","Pleasant Hill Elementary
School",2201012,E,39.6,42.8,-3.1999999999999957,-7.476635514018683
"Edgefield
County School
District","W. E. Parker Elementary
School",1901007,E,36.7,39.7,-3,-7.556675062972292
"Chesterfield
County School
District",Mcbee Elementary,1301020,E,37.6,40.7,-3.1000000000000014,-7.61670761670762
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,E,48.5,52.5,-4,-7.6190476190476195
"Richland School
District Two",Round Top Elementary,4002090,E,65,70.4,-5.400000000000006,-7.670454545454552
"Lexington
County School
District One",Midway Elementary School,3201055,E,63.5,68.9,-5.400000000000006,-7.837445573294638
"Richland School
District One","William S. Sandel
Elementary School",4001059,E,18.8,20.4,-1.5999999999999979,-7.843137254901951
"School District
Five Of
Lexington &
Richland Count","Chapin Intermediate
School",3205050,E,59.8,64.9,-5.1000000000000085,-7.858243451463803
"Berkeley County
School District","Devon Forest Elementary
School",0801039,E,34.8,37.8,-3,-7.936507936507938
"The School
District Of
Greenville
County",Sara Collins Elementary,2301044,E,55.2,60,-4.799999999999997,-7.999999999999995
"School District
Of Oconee
County","Walhalla Elementary
School",3701022,E,45.3,49.3,-4,-8.113590263691684
"The School
District Of
Greenville
County",Monarch,2301120,E,74,80.7,-6.700000000000003,-8.302354399008676
"Georgetown
County School
District","Waccamaw Intermediate
School",2201029,E,56.1,61.2,-5.100000000000001,-8.333333333333336
"Lexington
County School
District One","Rocky Creek Elementary
School",3201066,E,54.7,59.7,-5,-8.375209380234505
"Richland School
District Two",Bookman Road Elementary,4002087,E,51.3,56,-4.700000000000003,-8.392857142857148
"Horry County
Schools","Green Sea Floyds
Elementary School",2601023,E,47.7,52.3,-4.599999999999994,-8.795411089866146
"Fairfield County
School District","Kelly Miller Elementary
School",2001008,E,27.9,30.6,-2.700000000000003,-8.823529411764715
"Richland School
District Two",Muller Road Middle School,4002098,E,73.8,81.1,-7.299999999999997,-9.001233045622685
"Charleston
County School
District","Montessori Community
School",1001113,E,72.5,79.7,-7.200000000000003,-9.033877038895863
"Lexington
County School
District One",Pelion Elementary School,3201008,E,24.1,26.5,-2.3999999999999986,-9.0566037735849
"York School
District One",York Intermediate School,4601048,E,30.1,33.1,-3,-9.06344410876133
"Darlington
County School
District","Brockington Elementary
Magnet School",1601013,E,32,35.2,-3.200000000000003,-9.090909090909099
"Lexington
County School
District Three","Batesburg-Leesville
Elementary School",3203028,E,26.1,28.8,-2.6999999999999993,-9.374999999999996
"Richland School
District Two",Catawba Trail Elementary,4002101,E,40.8,45.1,-4.300000000000004,-9.534368070953446
